t,X,Y,Z
30.718,300,251,1.087431
30.75,301,252,1.087152
30.783,302,253,1.086872
30.815,304,253,1.08636
30.849,305,253,1.086182
30.883,305,253,1.086021
30.92,305,254,1.08607
30.949,306,254,1.086055
30.983,306,254,1.086053
31.02,306,254,1.086136
31.052,306,254,1.086203
31.086,306,254,1.086326
31.116,306,254,1.086438
31.148,306,254,1.086479
31.183,306,254,1.086594
31.217,306,254,1.086719
31.248,306,254,1.086824
31.286,307,254,1.087283
31.318,307,254,1.087504
31.349,307,254,1.087641
31.383,307,254,1.087765
31.415,307,254,1.087888
31.451,307,254,1.088291
31.486,307,254,1.088462
31.518,307,254,1.088678
31.547,307,254,1.088961
31.583,307,254,1.089118
31.616,307,254,1.089297
31.651,307,254,1.089437
31.682,307,254,1.089762
31.716,307,253,1.090177
31.751,307,254,1.090335
31.781,307,254,1.090421
31.819,307,253,1.090612
31.852,307,253,1.090881
31.883,307,253,1.091696
31.918,309,250,1.092987
31.951,312,248,1.094519
31.984,313,247,1.09593
32.018,313,246,1.09636
32.054,319,242,1.097066
32.086,343,208,1.082126
32.118,356,231,1.104528
32.152,361,234,1.10844
32.182,387,228,1.114938
32.218,389,230,1.117904
32.252,398,239,1.129534
32.285,405,237,1.133217
32.317,424,246,1.21623
32.351,457,212,1.154939
32.384,465,214,1.164675
32.42,468,219,1.174371
32.453,446,253,1.250379
32.482,478,227,1.191084
32.519,476,230,1.192996
32.551,482,232,1.197256
32.582,480,235,1.197776
32.619,479,236,1.197796
32.65,478,237,1.196567
32.684,482,238,1.194721
32.718,455,264,1.258249
32.755,452,264,1.251803
32.785,469,242,1.161724
32.821,469,243,1.15817
32.854,470,243,1.14837
32.887,464,243,1.124218
32.918,462,245,1.115752
32.953,407,281,1.188531
32.986,399,299,1.22121
33.025,404,276,1.068125
33.053,405,276,1.060984
33.087,379,298,1.049993
33.119,376,300,1.046229
33.152,365,306,1.035127
33.182,360,309,1.026387
33.219,355,312,1.018042
33.253,343,319,1.012689
33.285,338,322,1.011052
33.319,330,332,1.015123
33.353,326,334,1.015603
33.384,325,336,1.016676
33.418,324,336,1.016745
33.452,324,336,1.016833
33.485,325,331,1.014351
33.516,328,325,1.012861
33.552,331,320,1.01479
33.585,335,313,1.019028
33.619,338,305,1.025524
33.651,340,292,1.033714
33.685,344,280,1.044947
33.717,347,268,1.052143
33.75,344,250,1.062646
33.783,355,236,1.078872
33.82,357,230,1.088041
33.852,362,203,1.104348
33.882,365,189,1.115159
33.92,365,185,1.124105
33.953,365,182,1.136403
33.986,366,176,1.150558
34.018,366,170,1.164731
34.052,367,165,1.176039
34.084,368,162,1.186756
34.119,368,161,1.193439
34.152,369,160,1.203819
34.184,369,160,1.208405
34.219,370,160,1.212184
34.253,371,160,1.21476
34.285,371,160,1.215624
34.319,373,160,1.216465
34.352,375,160,1.213914
34.385,378,160,1.208582
34.421,384,165,1.196103
34.451,390,169,1.188362
34.484,397,186,1.166978
34.523,402,187,1.156748
34.552,439,202,1.152705
34.588,422,245,1.199145
34.622,452,216,1.115533
34.655,459,229,1.092315
34.689,470,246,1.073412
34.72,480,272,1.069465
34.754,442,300,1.162237
34.79,437,314,1.182298
34.819,435,329,1.217849
34.852,494,323,1.047863
34.887,438,333,1.177127
34.922,496,336,1.045799
34.954,439,339,1.170451
34.987,494,341,1.044414
35.021,439,338,1.171318
35.053,423,368,1.193369
35.086,423,366,1.184304
35.122,417,364,1.196357
35.15,421,356,1.160627
